Nazwa;Ticker;Data;Otwarcie;Najwyzszy;Najni¿szy;Zamkniêcie;Wolumen
Apple;AAPL;8.09.2020;111,12;116,03;109,88;110,02;237274991
Apple;AAPL;9.09.2020;114,35;116,17;112,39;114,41;181458998
Apple;AAPL;10.09.2020;117,37;117,50;109,71;110,67;186929147
Apple;AAPL;11.09.2020;111,72;112,36;107,26;109,21;185478969
Apple;AAPL;14.09.2020;111,87;113,04;110,00;112,49;143729112
Apple;AAPL;15.09.2020;115,38;115,86;110,78;112,65;189357259
Apple;AAPL;16.09.2020;112,36;113,11;109,25;109,34;158985605
Apple;AAPL;17.09.2020;106,98;109,41;106,00;107,60;182556849
Apple;AAPL;18.09.2020;107,66;108,11;103,46;104,19;294436704
Apple;AAPL;21.09.2020;101,93;107,45;100,54;107,34;200711776
Apple;AAPL;22.09.2020;109,88;110,06;106,44;109,03;187730075
Apple;AAPL;23.09.2020;108,84;109,32;104,12;104,44;154567588
Apple;AAPL;24.09.2020;102,55;107,51;102,38;105,52;172027023
Apple;AAPL;25.09.2020;105,72;109,65;104,98;109,49;153811531
Apple;AAPL;28.09.2020;112,14;112,45;109,98;112,09;141188155
Apple;AAPL;29.09.2020;111,70;112,44;110,74;111,24;102615780
Apple;AAPL;30.09.2020;110,96;114,35;110,79;112,92;146318692
Apple;AAPL;1.10.2020;114,70;114,78;112,94;113,89;119085817
Apple;AAPL;2.10.2020;110,09;112,49;109,43;110,22;148407508
Apple;AAPL;5.10.2020;111,08;113,75;110,72;113,60;108956998
Apple;AAPL;6.10.2020;112,81;113,23;109,46;110,36;165622404
Apple;AAPL;7.10.2020;111,77;112,66;111,28;112,21;99322226
Apple;AAPL;8.10.2020;113,35;113,50;111,74;112,10;85608916
Apple;AAPL;9.10.2020;112,41;114,09;112,05;114,06;103073517
Apple;AAPL;12.10.2020;117,08;122,06;116,32;121,29;246361462
Apple;AAPL;13.10.2020;122,14;122,26;116,67;118,08;269029605
Apple;AAPL;14.10.2020;117,98;119,97;116,64;118,17;154919999
Apple;AAPL;15.10.2020;115,77;118,18;115,20;117,71;115433652
Apple;AAPL;16.10.2020;118,26;118,52;115,85;116,06;118340628
Apple;AAPL;19.10.2020;116,98;117,42;112,77;113,09;123720114
Apple;AAPL;20.10.2020;113,30;116,02;112,74;114,58;127601147
Apple;AAPL;21.10.2020;113,77;115,75;113,55;113,96;92242938
Apple;AAPL;22.10.2020;114,53;115,09;111,74;112,86;104592428
Apple;AAPL;23.10.2020;113,49;113,65;111,43;112,17;84681308
Apple;AAPL;26.10.2020;111,17;113,65;110,08;112,18;114706995
Apple;AAPL;27.10.2020;112,60;114,37;111,69;113,70;94633250
Apple;AAPL;28.10.2020;112,18;112,54;108,33;108,43;147613575
Apple;AAPL;29.10.2020;109,58;114,02;109,41;112,45;149860886
Apple;AAPL;30.10.2020;108,29;109,20;105,02;106,15;195440166
Apple;AAPL;2.11.2020;106,40;107,93;104,64;106,06;126004561
Apple;AAPL;3.11.2020;106,93;108,71;106,02;107,70;110372862
Apple;AAPL;4.11.2020;111,29;112,70;109,56;112,08;141765613
Apple;AAPL;5.11.2020;115,01;116,64;113,96;116,06;129614631
Apple;AAPL;6.11.2020;115,57;116,44;113,43;115,93;117178682
Apple;AAPL;9.11.2020;117,71;119,16;113,35;113,62;158188274
Apple;AAPL;10.11.2020;112,86;114,85;111,48;113,27;141304322
Apple;AAPL;11.11.2020;114,47;116,86;113,74;116,72;114964300
Apple;AAPL;12.11.2020;116,85;117,74;115,82;116,45;105807408
Apple;AAPL;13.11.2020;116,67;116,90;115,12;116,50;83630393
Apple;AAPL;16.11.2020;116,16;118,18;115,40;117,51;93350515
Apple;AAPL;17.11.2020;116,78;117,87;116,20;116,62;76036458
Apple;AAPL;18.11.2020;115,85;117,05;115,25;115,28;78136352
Apple;AAPL;19.11.2020;114,85;116,30;114,10;115,88;75874699
Apple;AAPL;20.11.2020;115,89;116,01;114,56;114,61;75353922
Apple;AAPL;23.11.2020;114,46;114,88;111,12;111,21;131001019
Apple;AAPL;24.11.2020;111,26;113,16;109,98;112,49;116581104
Apple;AAPL;25.11.2020;112,85;114,04;112,49;113,33;78317685
Apple;AAPL;27.11.2020;113,87;114,75;113,52;113,89;47801223
Apple;AAPL;30.11.2020;114,26;118,16;114,10;116,29;173437199
Apple;AAPL;1.12.2020;118,20;120,61;117,24;119,87;131213436
Apple;AAPL;2.12.2020;119,19;120,51;118,08;120,22;91119900
Apple;AAPL;3.12.2020;120,66;120,91;119,38;120,08;80844758
Apple;AAPL;4.12.2020;119,75;120,01;118,69;119,41;80120737
Apple;AAPL;7.12.2020;119,47;121,67;119,41;120,88;88677046
Apple;AAPL;8.12.2020;121,47;122,07;120,23;121,48;83958145
Apple;AAPL;9.12.2020;121,63;123,03;118,19;118,95;117607137
Apple;AAPL;10.12.2020;117,71;121,00;117,37;120,38;83244691
Apple;AAPL;11.12.2020;119,59;119,91;117,76;119,57;89006419
Apple;AAPL;14.12.2020;119,75;120,49;118,71;118,95;80955691
Apple;AAPL;15.12.2020;121,44;124,92;121,24;124,90;161317889
Apple;AAPL;16.12.2020;124,45;125,39;123,63;124,83;100543092
Apple;AAPL;17.12.2020;125,91;126,58;125,06;125,71;96602824
Apple;AAPL;18.12.2020;125,97;126,10;123,20;123,73;197118370
Apple;AAPL;21.12.2020;122,11;125,33;120,58;125,25;124133804
Apple;AAPL;22.12.2020;128,55;131,28;126,65;128,82;173377462
Apple;AAPL;23.12.2020;129,09;129,36;127,73;127,91;90320845
Apple;AAPL;24.12.2020;128,26;130,36;128,05;128,90;56235798
